university	name	paper_count	affiliation_status	affiliations	topics	paper_ids	paper_titles	paper_years
UT	Romina Muka	2	confirmed		Affect (linguistics); Business; Emerging markets; Emerging technologies; Hospitality; Hospitality industry; Marketing; Operationalization; Survey data collection; Technology acceptance model; Tourism	W7117989499; W4417026910	Guest Acceptance of Smart and AI-Enabled Hotel Services in an Emerging Market: Evidence from Albania; Guest Acceptance of Smart and AI Technologies in Hospitality: Evidence from Behavioral and Financial Intentions in an Emerging Market (Albania)	2026; 2025
UT	Alda Kika	1	confirmed		Artificial intelligence; Big data; Computer science; Creative visualization; Data science; Data visualization; Face (sociological concept); Information visualization; Scalability; Visualization	W7131275768	BIG DATA VISUALIZATION THROUGH AI AND ANALYTICAL TECHNIQUES	2025
UT	Anjeza Liçenji	1	confirmed		Computer science; Environmental ethics; Human rights; Law; Philosophy; Political science; Software deployment; Software engineering	W4412933679	A hermeneutical analysis of human rights protections in the deployment and regulation of AI systems in the Western Balkans	2025
UT	Ariola Bacu	1	confirmed		Accountability; Agency (philosophy); Artificial intelligence; Autonomy; Bioethics; Economic Justice; Engineering ethics; Knowledge management; Robotics; Sociology	W4413074216	Artificial Intelligence and Humanoid Robotics: Bioethical Implications of Replacing Human Agency in Healthcare and beyond	2025
UT	Av. Xhon Skënderi	1	confirmed		Artificial intelligence; Choice of law; Conflict of laws; International law; Interpretation (philosophy); Law; Law and economics; Legislation; Political science; Sociology	W4377080381	The Impact of AI on Determining the Applicable Law in Cross-Border Disputes Under the Rome II Regulation	2023
UT	Edlira Martiri	1	confirmed		Artificial intelligence; Computer science; Data mining; Fingerprint (computing); Gradient boosting; Machine learning; Metadata; Network packet; Random forest; The Internet	W4386607180	Unveiling the Digital Fingerprints: Analysis of Internet attacks based on website fingerprints	2023
UT	Eglantina Kalluçi	1	confirmed		Accountability; Agency (philosophy); Artificial intelligence; Autonomy; Bioethics; Economic Justice; Engineering ethics; Knowledge management; Robotics; Sociology	W4413074216	Artificial Intelligence and Humanoid Robotics: Bioethical Implications of Replacing Human Agency in Healthcare and beyond	2025
UT	Ela Podgorica Kerka	1	confirmed		Business; Data Protection Act 1998; General Data Protection Regulation; Information privacy; Information privacy law; Internet privacy; Legislation; Privacy by Design; Privacy law; Safeguarding	W7124704132	Personal data protection and privacy	2026
UT	Elira Hoxha	1	confirmed		Artificial intelligence; Computer science; Data science; Exploratory analysis; Exploratory factor analysis; Factor (programming language); Geography; Latent Dirichlet allocation; Structural equation modeling; Topic model	W4410481635	Analyzing the Ecosystem Contexts in the AI Literature Using Latent Dirichlet Allocation and Exploratory Factor Analysis	2025
UT	Emiranda Loka	1	confirmed		Artificial intelligence; Big data; Computer science; Creative visualization; Data science; Data visualization; Face (sociological concept); Information visualization; Scalability; Visualization	W7131275768	BIG DATA VISUALIZATION THROUGH AI AND ANALYTICAL TECHNIQUES	2025
UT	Eneida Sema	1	confirmed		Computer science; Directive; Law; Political science; Programming language	W4413420839	Regulation of Platform Work in the EU: A Comparative Analysis of the Draft Directive of 2021 and the Directive (EU) 2024/2831	2025
UT	Enkelejda Koka	1	confirmed		Artificial intelligence; Computer science; Corporate governance; Engineering ethics; Generalizability theory; Political science; Psychology; Robotics; Sociology; Transparency (behavior)	W4406245123	Ethical concerns in AI development: analyzing students’ perspectives on robotics and society	2025
UT	Erinda Ballanca	1	confirmed		Convention; Corporate governance; Digital literacy; Digital rights; Digital transformation; Human rights; Information ethics; Political science; Public relations; Public service	W7117587373	Between ethics and algorithms: protecting rights in the digital era	2025
UT	Iris Shkelzen Berisha	1	confirmed		Business; Data Protection Act 1998; General Data Protection Regulation; Information privacy; Information privacy law; Internet privacy; Legislation; Privacy by Design; Privacy law; Safeguarding	W7124704132	Personal data protection and privacy	2026
UT	Kreshnik Vukatana	1	confirmed		Artificial intelligence; Computer science; Data science; Exploratory analysis; Exploratory factor analysis; Factor (programming language); Geography; Latent Dirichlet allocation; Structural equation modeling; Topic model	W4410481635	Analyzing the Ecosystem Contexts in the AI Literature Using Latent Dirichlet Allocation and Exploratory Factor Analysis	2025
UT	Laura Çami	1	confirmed		Artificial intelligence; Choice of law; Conflict of laws; International law; Interpretation (philosophy); Law; Law and economics; Legislation; Political science; Sociology	W4377080381	The Impact of AI on Determining the Applicable Law in Cross-Border Disputes Under the Rome II Regulation	2023
UT	Majlinda Abdiu	1	confirmed		Big data; Business; Computer science; Corporate governance; Engineering; Humanity; Law; Political science; Politics; Urban planning	W4213168039	Artificial Intelligence in European Urban Governance	2022
UT	Matilda Naço	1	confirmed		Blueprint; Business; Empirical evidence; Hospitality; Hospitality industry; Knowledge management; Marketing; Service provider; Sharing economy; Tourism	W7128440946	A Technological Blueprint for Smart and AI-Driven Hospitality in Emerging Tourism Markets: Evidence from Albania	2026
UT	Nertila Çika	1	confirmed		Action plan; Conceptual framework; Curriculum; Digital literacy; Digital transformation; Higher education; Knowledge management; Political science; Process (computing); Sociology	W4416102023	Digital transformation and AI integration in accounting education: Evidence from Albania	2025
UT	Ornela Gordani	1	confirmed		Accountability; Agency (philosophy); Artificial intelligence; Autonomy; Bioethics; Economic Justice; Engineering ethics; Knowledge management; Robotics; Sociology	W4413074216	Artificial Intelligence and Humanoid Robotics: Bioethical Implications of Replacing Human Agency in Healthcare and beyond	2025
UT	Pjereta Agalliu	1	confirmed		Computer science; Environmental ethics; Human rights; Law; Philosophy; Political science; Software deployment; Software engineering	W4412933679	A hermeneutical analysis of human rights protections in the deployment and regulation of AI systems in the Western Balkans	2025
UT	Xhenis Sina	1	confirmed		Context (archaeology); Curriculum; Digital economy; Digital literacy; European union; Preparedness; Public relations; Variety (cybernetics); Work (physics); Workforce	W7118576169	Awareness and attitudes toward digital work platforms among Albanian students	2025
UT	Xhilda Dhamo	1	confirmed		Accountability; Agency (philosophy); Artificial intelligence; Autonomy; Bioethics; Economic Justice; Engineering ethics; Knowledge management; Robotics; Sociology	W4413074216	Artificial Intelligence and Humanoid Robotics: Bioethical Implications of Replacing Human Agency in Healthcare and beyond	2025
UMA	Amparo Zamora-Mogollo	1	confirmed		Digital platforms; IT governance; Higher education; Interoperability; European university alliances	EUNIS2026_Zamora	Governing Digital Platforms in European University Alliances: A Cross-Alliance Survey	2026
UMA	Francisca Martin-Vergara	1	confirmed		Digital platforms; IT governance; Higher education; Interoperability; European university alliances	EUNIS2026_Zamora	Governing Digital Platforms in European University Alliances: A Cross-Alliance Survey	2026
UMA	Ignacio Moreno-Torres	1	confirmed		Digital platforms; IT governance; Higher education; Interoperability; European university alliances	EUNIS2026_Zamora	Governing Digital Platforms in European University Alliances: A Cross-Alliance Survey	2026
UMA	Victoriano F. Giralt	1	confirmed		Digital platforms; IT governance; Higher education; Interoperability; European university alliances	EUNIS2026_Zamora	Governing Digital Platforms in European University Alliances: A Cross-Alliance Survey	2026
THWS	Anna A. Moritz	1	confirmed		Digital platforms; IT governance; Higher education; Interoperability; European university alliances	EUNIS2026_Zamora	Governing Digital Platforms in European University Alliances: A Cross-Alliance Survey	2026
