university	name	paper_count	affiliation_status	affiliations	topics	paper_ids	paper_titles	paper_years
UMA	Diego Castillo-Barnés	1	confirmed	Universidad de Granada; Universidad de Málaga	Applications of artificial intelligence; Artificial intelligence; Artificial life; Artificial neural network; Automation; Binary classification; Cognition; Computer science; Context (archaeology); Convolutional neural network; Deep learning; Machine learning; Neuroinformatics; Pipeline (software); Preprocessor; Reliability (semiconductor); Robotics; Sample (material); Test (biology)	W4385383529	Computational approaches to Explainable Artificial Intelligence: Advances in theory, applications and trends	2023
UMA	Manuel Paniagua-Gómez	1	confirmed		Computer science; Internet of Things; Modulation (music); Real-time computing; Stress (linguistics)	W4411673845	Trends and Challenges in Real-Time Stress Detection and Modulation: The Role of the IoT and Artificial Intelligence	2025
UMA	Manuel F. Fernández	1	confirmed		Computer science; Internet of Things; Modulation (music); Real-time computing; Stress (linguistics)	W4411673845	Trends and Challenges in Real-Time Stress Detection and Modulation: The Role of the IoT and Artificial Intelligence	2025
UMA	Ernesto Colomo Magaña	1	confirmed		Competence (human resources); Computer science; Confirmatory factor analysis; Context (archaeology); Exploratory factor analysis; Exploratory research; Knowledge management; Psychology; Structural equation modeling; Validity	W4417436257	Validation of a digital competence in artificial intelligence scale for non-university students based on the DigComp model	2025
UMA	Francisco David Guillén Gámez	1	confirmed		Confirmatory factor analysis; Discriminant validity; Exploratory factor analysis; Key (lock); Knowledge management; Perception; Psychology; Reliability (semiconductor); Structural equation modeling; Transformational leadership	W7120099924	Design and validation of an instrument to evaluate transformational and managerial leadership in the responsible use of artificial intelligence in educational centers	2026
UMA	Francisco Javier Paniagua Rojano	1	confirmed		Big data; Data science; Disinformation; Engineering; Information and Communications Technology; Knowledge management; Political science; Social media; Social network analysis	W7126051914	Cartography of the Use of Artificial Intelligence Against Disinformation in Europe: Trends, Stakeholders, and Emerging Challenges	2026
UMA	Ibon Eguíluz‐Gracia	1	confirmed		Allergy; Applications of artificial intelligence; Artificial intelligence; Bridge (graph theory); Computer science; Data science; Engineering ethics; Medicine; Narrative review; Perspective (graphical)	W4414043654	Artificial intelligence in allergy and immunology: Recent developments, implementation challenges, and the road toward clinical impact	2025
UMA	Marı́a José Torres	1	confirmed		Allergy; Applications of artificial intelligence; Artificial intelligence; Bridge (graph theory); Computer science; Data science; Engineering ethics; Medicine; Narrative review; Perspective (graphical)	W4414043654	Artificial intelligence in allergy and immunology: Recent developments, implementation challenges, and the road toward clinical impact	2025
UMA	Dario Russo	1	confirmed		Agency (philosophy); Artificial intelligence; Computer science; Corpus linguistics; Generative grammar; Linguistics; Narrative; Newspaper; Psychology; Sociology	W7131655367	Artificial Intelligence and Fake News: Linguistic Analysis, Gender Bias, and Ethics in Digital Media Communication	2026
UMA	Yolanda Casermeiro-Corpas	1	confirmed		Bibliometrics; Business intelligence; Competitor analysis; Computer science; Data science; Diversification (marketing strategy); Key (lock); Knowledge management; Marketing research; Scopus	W7133878676	Mapping artificial intelligence in marketing: insights through a two-decade analysis (2000–2024)	2026
UMA	Francisco Rejón-Guardia	1	confirmed		Bibliometrics; Business intelligence; Competitor analysis; Computer science; Data science; Diversification (marketing strategy); Key (lock); Knowledge management; Marketing research; Scopus	W7133878676	Mapping artificial intelligence in marketing: insights through a two-decade analysis (2000–2024)	2026
UMA	María Vallespín	1	confirmed		Bibliometrics; Business intelligence; Competitor analysis; Computer science; Data science; Diversification (marketing strategy); Key (lock); Knowledge management; Marketing research; Scopus	W7133878676	Mapping artificial intelligence in marketing: insights through a two-decade analysis (2000–2024)	2026
UMA	Juan José Gómez‐Doblas	1	confirmed		Artificial intelligence; Certification; Generalizability theory; Health care; Medicine; Pharmacotherapy; Psychological intervention; Risk analysis (engineering); Standardization; Transparency (behavior)	W4412455680	Artificial intelligence in cardiovascular pharmacotherapy: applications and perspectives	2025
UMA	Lucía Ballesteros-Aguayo	1	confirmed		Artificial intelligence; Computer science; Computer security; Disinformation	W4409034698	A fact-checking tool based on Artificial Intelligence to fight disinformation on Telegram	2025
UMA	Francisco J. Baldán	1	confirmed		Analytics; Artificial intelligence; Big data; Computer science; Data science; Generalizability theory; Interpretability; Machine learning; Standardization	W4410953613	Revolutionizing Sperm Analysis with AI: A Review of Computer-Aided Sperm Analysis Systems	2025
UMA	Alberto Tudela	1	confirmed		Architecture; Artificial intelligence; Behavior-based robotics; Computer science; Episodic memory; Human–computer interaction; Process (computing); Robot; Software	W4413206531	Building a Self-Explanatory Social Robot on the Basis of an Explanation-Oriented Runtime Knowledge Model	2025
